"P0001000";"GOK-Root";"Geschichte";"lkl=p?";"History"
"P1087000";"P1071000";"Wirtschaft";"lkl=pon 400";"Economy"
"P1088000";"P1071000";"Kultur";"lkl=pon 500";"Culture"
"P1089000";"P1071000";"Kirche und Frömmigkeit";"lkl=pon 570";"Church and Piety"
"P1090000";"P1071000";"Regionalgeschichte(n)";"lkl=pon 600";"Regional Studies"
"P1091000";"P1071000";"Stadt- und Ortsgeschichte";"lkl=pon 700";"Local History"
"P1092000";"P1071000";"Personen";"lkl=pon 800";"Biographies"
"P1093000";"P1005000";"Großbritannien im 19. Jahrhundert";"lkl=pod? or ddc=941.08? or ddc=941.74? or ddc=941.75?";"Great Britain in the 19th Century"
"P1093500";"P1093000";"Nachschlagewerke, Handbücher ";"lkl=pod 000";"Factual Reference Works, Handbooks"
"P1094000";"P1093000";"Quellen: übergreifende Sammlungen";"lkl=pod 100";"Primary Sources: comprehensive collections"
"P1095000";"P1093000";"Quellen: Spezialsammlungen";"lkl=pod 150";"Primary Sources: special collections"
"P1096000";"P1093000";"Politische Geschichte";"lkl=pod 200";"Political History"
"P1097000";"P1096000";"Außenpolitik";"lkl=pod 220";"Foreign Policy"
"P1098000";"P1096000";"Kriege mit Frankreich";"lkl=pod 222";"Wars against France"
"P1099000";"P1096000";"Kolonialpolitik und Empire";"lkl=pod 225";"Colonial Policy and Empire"
"P1100000";"P1096000";"Militärgeschichte";"lkl=pod 250";"Military History"
"P1101000";"P1096000";"Innenpolitik";"lkl=pod 260";"Domestic Policy"
"P1102000";"P1096000";"Reformpolitik";"lkl=pod 262 or thm=chartism?";"Chartism "
"P1103000";"P1096000";"Parteien";"lkl=pod 270";"Political Parties"
"P1104000";"P1093000";"Gesellschaft";"lkl=pod 300";"Society"
"P1105000";"P1093000";"Frauen";"lkl=pod 380";"Women"
"P1106000";"P1093000";"Wirtschaft";"lkl=pod 400";"Economy"
"P1107000";"P1093000";"Industrialisierung";"lkl=pod 420";"Industrialisation"
"P1108000";"P1093000";"Kultur";"lkl=pod 500";"Culture"
"P1109000";"P1093000";"Kirche und Frömmigkeit";"lkl=pod 570";"Church and Piety"
"P1110000";"P1093000";"Stadt- und Ortsgeschichte allgemein";"lkl=pod 700";"Local History allgemein"
"P1111000";"P1093000";"Personen";"lkl=pod 800";"Biographies"
"P1112000";"P1093000";"Einzelbeiträge";"lkl=pod 900";"Miscellaneous"
"P1113000";"P1005000";"Großbritannien im 20. Jahrhundert ";"lkl=pof? or lkl=pog? or lkl=poh? or ddc=941.08?";"Great Britain in the 20th Century "
"P1113500";"P1113000";"Nachschlagewerke, Handbücher ";"lkl=pof 000";"Factual Reference Works, Handbooks"
"P1114000";"P1113000";"Quellen";"lkl=pof 1?";"Primary Sources "
"P1115000";"P1113000";"Politische Geschichte";"lkl=pof 200 or lkl=pof 900";"Political History"
"P1116000";"P1115000";"Außenpolitik";"lkl=pof 220";"Foreign Policy"
"P1117000";"P1115000";"Empire und Commonwealth";"lkl=pof 225";"Empire und Commonwealth"
"P1118000";"P1115000";"Militärgeschichte";"lkl=pof 250";"Military History"
"P1119000";"P1115000";"Innenpolitik";"lkl=pof 270";"Domestic Policy"
"P1120000";"P1115000";"Parteien";"lkl=pof 270";"Political Parties"
"P1121000";"P1113000";"Gesellschaft";"lkl=pof 300";"Society"
"P1122000";"P1113000";"Frauen";"lkl=pof 380";"Women"
"P1123000";"P1113000";"Wirtschaft";"lkl=pof 400";"Economy"
"P1124000";"P1113000";"Kultur";"lkl=pof 500";"Culture"
"P1125000";"P1113000";"Kirche und Frömmigkeit";"lkl=pof 570";"Church and Piety"
"P1126000";"P1113000";"Stadt- und Ortsgeschichte allgemein";"lkl=pof 700 or lkl=pof 600";"Local History in general"
"P1127000";"P1113000";"Personen";"lkl=pof 800";"Biographies"
"P1128000";"P1005000";"Großbritannien 1918-1945 ";"lkl=pog? or ddc=941.082? or ddc=941.083? or ddc=941.084?";"Great Britain 1918-1945 "
"P1128500";"P1128000";"Nachschlagewerke, Handbücher ";"lkl=pog 000";"Factual Reference Works, Handbooks"
"P1129000";"P1128000";"Quellen";"lkl=pog 1?";"Primary Sources "
"P1130000";"P1128000";"Politische Geschichte";"lkl=pog 200 or lkl=pog 900";"Political History"
"P1131000";"P1130000";"Außenpolitik";"lkl=pog 220";"Foreign Policy"
"P1132000";"P1130000";"Kolonialpolitik und Empire";"lkl=pog 222";"Colonial Policy and Empire"
"P1133000";"P1130000";"Militärgeschichte";"lkl=pog 250";"Military History"
"P1134000";"P1130000";"Innenpolitik";"lkl=pog 260";"Domestic Policy"
"P1135000";"P1130000";"Parteien";"lkl=pog 270";"Political Parties"
"P1136000";"P1128000";"Gesellschaft";"lkl=pog 300";"Society"
"P1137000";"P1128000";"Frauen";"lkl=pog 380";"Women"
"P1138000";"P1128000";"Wirtschaft";"lkl=pog 400";"Economy"
"P1139000";"P1128000";"Kultur";"lkl=pog 500";"Culture"
"P1140000";"P1128000";"Personen";"lkl=pog 800";"Biographies"
"P1141000";"P1005000";"Großbritannien nach 1945 ";"lkl=poh? or ddc=941.085? or ddc=941.086? ";"Great Britain after 1945 "
"P1141500";"P1141000";"Nachschlagewerke, Handbücher ";"lkl=poh 000";"Factual Reference Works, Handbooks"
"P1142000";"P1141000";"Quellen";"lkl=poh 1?";"Primary Sources "
"P1143000";"P1141000";"Politische Geschichte";"lkl=poh 200 or lkl=poh 900";"Political History"
"P1144000";"P1143000";"Außenpolitik";"lkl=poh 220";"Foreign Policy"
"P1145000";"P1143000";"Empire und Commonwealth";"lkl=poh 222";"Empire and Commonwealth"
"P1146000";"P1143000";"Europapolitik";"lkl=poh 226";"European Politics"
"P1147000";"P1143000";"Militärgeschichte";"lkl=poh 250";"Military History"
"P1148000";"P1143000";"Innenpolitik";"lkl=poh 260";"Domestic Policy"
"P1149000";"P1143000";"Parteien";"lkl=poh 270";"Political Parties"
"P1150000";"P1141000";"Gesellschaft";"lkl=poh 300";"Society"
"P1151000";"P1141000";"Frauen";"lkl=poh 380";"Women"
"P1152000";"P1141000";"Wirtschaft";"lkl=poh 400";"Economy"
"P1153000";"P1141000";"Kultur";"lkl=poh 500";"Culture"
"P1154000";"P1141000";"Kirche und Frömmigkeit";"lkl=poh 570";"Church and Piety"
"P1155000";"P1141000";"Personen";"lkl=poh 800";"Biographies"
"P1156000";"P1005000";"Englische Regional- und Lokalgeschichte im 19. und 20. Jahrhundert";"lkl=poo?";"English Regional Studies and Local History in the 19th and 20th Century"
"P1157000";"P1156000";"Regionalgeschichte(n)";"lkl=poo 600";"Regional Studies"
"P1158000";"P1156000";"Stadt- und Ortsgeschichte";"lkl=poo 700";"Local History"
"P1159000";"P1005000";"Schottland ";"lkl=pop? or lkl=poq? or lkl=por? or lkl=pos? or ddc=941.1? or ddc=941.2? or ddc=941.3? or ddc=941.4?";"Scotland "
"P1159500";"P1159000";"Nachschlagewerke, Handbücher ";"lkl=pop 000";"Factual Reference Works, Handbooks"
"P1160000";"P1159000";"Quellen";"lkl=pop 1?";"Primary Sources "
"P1161000";"P1159000";"Politische Geschichte";"lkl=pop 200 or lkl=pop 900";"Political History"
"P1162000";"P1159000";"Gesellschaft";"lkl=pop 3?";"Society"
"P1163000";"P1159000";"Wirtschaft";"lkl=pop 400";"Economy"
"P1164000";"P1159000";"Kultur";"lkl=pop 500";"Culture"
"P1165000";"P1159000";"Regionalgeschichte(n)";"lkl=pop 600";"Regional Studies"
"P1166000";"P1159000";"Stadt- und Ortsgeschichte";"lkl=pop 700";"Local History"
"P1166500";"P1159000";"Personen ";"lkl=pop 800";"Biographies"
"P1167000";"P1005000";"Schottland im Mittelalter ";"lkl=poq? or ddc=941.101? or ddc=941.102? or ddc=941.103? or ddc=941.104?";"Scotland in the Middle Ages "
"P1167500";"P1167000";"Nachschlagewerke, Handbücher ";"lkl=poq 000";"Factual Reference Works, Handbooks"
"P1168000";"P1167000";"Quellen";"lkl=poq 1?";"Primary Sources "
"P1169000";"P1167000";"Politische Geschichte";"lkl=poq 2? or lkl=poq 900";"Political History"
"P1170000";"P1167000";"Gesellschaft";"lkl=poq 300";"Society"
"P1171000";"P1167000";"Wirtschaft";"lkl=poq 400";"Economy"
"P1172000";"P1167000";"Kultur, Kirche und Frömmigkeit";"lkl=poq 5?";"Culture, Church and Piety"
"P1173000";"P1167000";"Regionalgeschichte(n)";"lkl=poq 600";"Regional Studies"
"P1174000";"P1167000";"Stadt- und Ortsgeschichte";"lkl=poq 700";"Local History"
"P1175000";"P1167000";"Personen";"lkl=poq 800";"Biographies"
"P1176000";"P1005000";"Schottland in der Frühen Neuzeit ";"lkl=por? or ddc=941.105? or ddc=941.106? or ddc=941.107? ";"Scotland in the Early Modern Period "
"P1176500";"P1176000";"Nachschlagewerke, Handbücher ";"lkl=por 000";"Factual Reference Works, Handbooks"
"P1177000";"P1176000";"Quellen";"lkl=por 1?";"Primary Sources "
"P1178000";"P1176000";"Politische Geschichte";"lkl=por 200 or lkl=por 900";"Political History"
"P1179000";"P1176000";"1500-1603";"lkl=por 210 or lkl=por 220";"1500-1603"
"P1180000";"P1176000";"1603-1800";"lkl=por 230";"1603-1800"
"P1181000";"P1176000";"Gesellschaft";"lkl=por 300";"Society"
"P1182000";"P1176000";"Wirtschaft";"lkl=por 400";"Economy"
"P1183000";"P1176000";"Kultur";"lkl=por 500";"Culture"
"P1184000";"P1176000";"Kirche und Frömmigkeit";"lkl=por 570";"Church and Piety"
"P1185000";"P1176000";"Regionalgeschichte(n)";"lkl=por 600";"Regional Studies"
"P1186000";"P1176000";"Stadt- und Ortsgeschichte";"lkl=por 700";"Local History"
"P1187000";"P1176000";"Personen";"lkl=por 800";"Biographies"
"P1188000";"P1005000";"Schottland im 19. und 20. Jahrhundert";"lkl=pos? or ddc=941.108?";"Scotland in the 19th and 20th Century"
"P1189000";"P1188000";"Quellen";"lkl=pos 1?";"Primary Sources "
"P1190000";"P1188000";"Gesellschaft";"lkl=pos 300";"Society"
"P1191000";"P1188000";"Wirtschaft";"lkl=pos 400";"Economy"
"P1192000";"P1188000";"Kultur";"lkl=pos 500";"Culture"
"P1193000";"P1188000";"Regionalgeschichte(n)";"lkl=pos 600";"Regional Studies"
"P1194000";"P1188000";"Stadt- und Ortsgeschichte";"lkl=pos 700";"Local History"
"P1195000";"P1188000";"Personen";"lkl=pos 800";"Biographies"
"P1196000";"P1005000";"Geschichte Irlands ";"lkl=pot? or lkl=pou? or lkl=pov? or lkl=pow? or lkl=pox? or lkl=poz?";"History of Ireland "
"P1196500";"P1196000";"Nachschlagewerke, Handbücher ";"lkl=pot 000";"Factual Reference Works, Handbooks"
"P1197000";"P1196000";"Quellen";"lkl=pot 1?";"Primary Sources "
"P1198000";"P1196000";"Politische Geschichte";"lkl=pot 2? or lkl=pot 900";"Political History"
"P1199000";"P1196000";"Gesellschaft";"lkl=pot 300";"Society"
"P1200000";"P1196000";"Wirtschaft";"lkl=pot 400";"Economy"
"P1201000";"P1196000";"Kultur";"lkl=pot 500";"Culture"
"P1202000";"P1196000";"Kirche und Frömmigkeit";"lkl=pot 570";"Church and Piety"
"P1203000";"P1196000";"Regionalgeschichte(n)";"lkl=pot 600";"Regional Studies"
"P1204000";"P1196000";"Stadt- und Ortsgeschichte";"lkl=pot 700";"Local History"
"P1205000";"P1196000";"Biographische Sammelwerke";"lkl=pot 800";"Biographical Reference Works"
"P1206000";"P1005000";"Irland im Mittelalter ";"lkl=pou?";"Ireland in the Middle Ages "
"P1206500";"P1206000";"Nachschlagewerke, Handbücher ";"lkl=pou 000";"Factual Reference Works, Handbooks"
"P1207000";"P1206000";"Quellen";"lkl=pou 1?";"Primary Sources "
"P1208000";"P1206000";"Politische Geschichte";"lkl=pou 2? or lkl=pou 900";"Political History"
"P1209000";"P1206000";"Gesellschaft";"lkl=pou 300";"Society"
"P1210000";"P1206000";"Wirtschaft";"lkl=pou 400";"Economy"
"P1211000";"P1206000";"Kultur, Kirche und Frömmigkeit";"lkl=pou 5?";"Culture, Church and Piety"
"P1212000";"P1206000";"Regionalgeschichte(n)";"lkl=pou 600";"Regional Studies"
"P1213000";"P1206000";"Stadt- und Ortsgeschichte";"lkl=pou 700";"Local History"
"P1214000";"P1206000";"Personen";"lkl=pou 800";"Biographies"
"P1215000";"P1005000";"Irland in der Frühen Neuzeit ";"lkl=pov?";"Ireland in the Early Modern Period "
"P1215500";"P1215000";"Nachschlagewerke, Handbücher ";"lkl=pov 000";"Factual Reference Works, Handbooks"
"P1216000";"P1215000";"Quellen";"lkl=pov 1?";"Primary Sources "
"P1217000";"P1215000";"Politische Geschichte";"lkl=pov 2? or lkl=pov 900";"Political History"
"P1218000";"P1215000";"Gesellschaft";"lkl=pov 3?";"Society"
"P1219000";"P1215000";"Wirtschaft";"lkl=pov 400";"Economy"
"P1220000";"P1215000";"Kultur, Kirche und Frömmigkeit";"lkl=pov 5?";"Culture, Church and Piety"
"P1221000";"P1215000";"Regionalgeschichte(n)";"lkl=pov 600";"Regional Studies"
"P1222000";"P1215000";"Stadt- und Ortsgeschichte";"lkl=pov 700";"Local History"
"P1223000";"P1215000";"Personen";"lkl=pov 800";"Biographies"
"P1224000";"P1005000";"Irland im 19. Jahrhundert (1800-1922) ";"lkl=pow? or  ddc=941.6081? or ddc=941.7081? or ddc=941.8081? or ddc=941.9081?";"Ireland in the 19th Century (1800-1922) "
"P1224500";"P1224000";"Nachschlagewerke, Handbücher ";"lkl=pow 000";"Factual Reference Works, Handbooks"
"P1225000";"P1224000";"Quellen";"lkl=pow 1?";"Primary Sources "
"P1226000";"P1224000";"Politische Geschichte";"lkl=pow 200 or lkl=pow 900";"Political History"
"P1227000";"P1224000";"Osteraufstand";"lkl=pow? and (thm=easter rising or thm=osteraufstand)";"Easter Rising"
"P1228000";"P1224000";"Gesellschaft";"lkl=pow 300";"Society"
"P1229000";"P1224000";"Frauen";"lkl=pow 3? and (thm=woman or thm=women or thm=frau?)";"Women"
"P1230000";"P1224000";"Wirtschaft";"lkl=pow 400";"Economy"
"P1231000";"P1224000";"Kultur";"lkl=pow 500";"Culture"
"P1232000";"P1224000";"Kirche und Frömmigkeit";"lkl=pow 570";"Church and Piety"
"P1233000";"P1224000";"Regionalgeschichte(n)";"lkl=pow 600";"Regional Studies"
"P1234000";"P1224000";"Stadt- und Ortsgeschichte";"lkl=pow 700";"Local History"
"P1235000";"P1224000";"Personen";"lkl=pow 800";"Biographies"
"P1236000";"P1005000";"Irland im 20. Jahrhundert ";"lkl=pox? or lkl=poy? or lkl=poz? or  ddc=941.6082? or ddc=941.7082? or ddc=941.8082? or ddc=941.9082?";"Ireland in the 20th Century "
"P1236500";"P1236000";"Nachschlagewerke, Handbücher ";"lkl=pox 000";"Factual Reference Works, Handbooks"
"P1237000";"P1236000";"Quellen";"lkl=pox 1?";"Primary Sources "
"P1238000";"P1236000";"Politische Geschichte";"lkl=pox 2? or lkl=pox 900";"Political History"
"P1239000";"P1236000";"Gesellschaft";"lkl=pox 3?";"Society"
"P1240000";"P1236000";"Wirtschaft";"lkl=pox 400";"Economy"
"P1241000";"P1236000";"Kultur, Kirche und Frömmigkeit";"lkl=pox 5?";"Culture, Church and Piety"
"P1242000";"P1236000";"Regionalgeschichte(n)";"lkl=pox 600";"Regional Studies"
"P1243000";"P1236000";"Stadt- und Ortsgeschichte";"lkl=pox 700";"Local History"
"P1244000";"P1236000";"Personen";"lkl=pox 800";"Biographies"
"P1245000";"P1005000";"Irland 1922-1949 ";"lkl=poy?";"Ireland 1922-1949 "
"P1245500";"P1245000";"Nachschlagewerke, Handbücher ";"lkl=poy 000";"Factual Reference Works, Handbooks"
"P1246000";"P1245000";"Quellen";"lkl=poy 1?";"Primary Sources "
"P1247000";"P1245000";"Politische Geschichte";"lkl=poy 2? or lkl=poy 900";"Political History"
"P1248000";"P1245000";"Gesellschaft";"lkl=poy 3?";"Society"
"P1249000";"P1245000";"Wirtschaft";"lkl=poy 400";"Economy"
"P1250000";"P1245000";"Kultur";"lkl=poy 5?";"Culture"
"P1251000";"P1245000";"Regionalgeschichte(n)";"lkl=poy 600";"Regional Studies"
"P1252000";"P1245000";"Stadt- und Ortsgeschichte";"lkl=poy 700";"Local History"
"P1253000";"P1245000";"Personen";"lkl=poy 800";"Biographies"
"P1254000";"P1005000";"Irland nach 1949 ";"lkl=poz?";"Ireland after 1949 "
"P1254500";"P1254000";"Nachschlagewerke, Handbücher ";"lkl=poz 000";"Factual Reference Works, Handbooks"
"P1255000";"P1254000";"Quellen";"lkl=poz 1?";"Primary Sources "
"P1256000";"P1254000";"Politische Geschichte";"(lkl=poz 2? or lkl=poz 900) not lkl=poz 266";"Political History"
"P1257000";"P1254000";"Nordirlandkonflikt";"lkl=poz 266";"Northern Ireland Conflict"
"P1258000";"P1254000";"Gesellschaft";"lkl=poz 300";"Society"
"P1259000";"P1254000";"Wirtschaft";"lkl=poz 400";"Economy"
"P1260000";"P1254000";"Kultur";"lkl=poz 5?";"Culture"
"P1261000";"P1254000";"Regionalgeschichte(n)";"lkl=poz 600";"Regional Studies"
"P1262000";"P1254000";"Stadt- und Ortsgeschichte";"lkl=poz 700";"Local History"
"P1263000";"P1254000";"Personen";"lkl=poz 800";"Biographies"
"P1264000";"P0001000";"Geschichte Frankreichs";"lkl=pp? or ddc=944?";"History of France"
"P1265000";"P1264000";"Nachschlagewerke, Handbücher";"lkl=pp 000";"Factual Reference Works, Handbooks"
"P1266000";"P1264000";"Quellen";"lkl=pp 1?";"Primary Sources "
"P1267000";"P1264000";"Politische Geschichte";"lkl=pp 200 or lkl=pp 900";"Political History"
"P1268000";"P1264000";"Gesellschaft, Wirtschaft, Kultur";"lkl=pp 300 or lkl=pp 400 or lkl=pp 500";"Society, Economy, Culture"
"P1269000";"P1264000";"Regionalgeschichte";"lkl=pp 600";"Regional Studies"
"P1270000";"P1264000";"Stadt- und Ortsgeschichte";"lkl=pp 700";"Local History"
"P1271000";"P1264000";"Geschichte Frankreichs im Mittelalter ";"lkl=ppa?";"France in the Middle Ages "
"P1271500";"P1271000";"Nachschlagewerke, Handbücher";"lkl=ppa 000";"Factual Reference Works, Handbooks"
"P1272000";"P1271000";"Quellen";"lkl=ppa 1?";"Primary Sources "
"P1273000";"P1271000";"Politische Geschichte";"lkl=ppa 2? or lkl=ppa 900";"Political History"
"P1274000";"P1271000";"Gesellschaft, Wirtschaft, Kultur";"lkl=ppa 300 or lkl=ppa 400 or lkl=ppa 500";"Society, Economy, Culture"
"P1275000";"P1271000";"Regionalgeschichte";"lkl=ppa 600";"Regional Studies"
"P1276000";"P1271000";"Stadt- und Ortsgeschichte";"lkl=ppa 700";"Local History"
"P1277000";"P1271000";"Personen";"lkl=ppa 800";"Biographies"
"P1278000";"P1264000";"Geschichte Frankreichs in der Frühen Neuzeit ";"lkl=ppe?";"France in the Early Modern Period "
"P1278500";"P1278000";"Nachschlagewerke, Handbücher";"lkl=ppe 000";"Factual Reference Works, Handbooks"
"P1279000";"P1278000";"Quellen";"lkl=ppe 1?";"Primary Sources "
"P1280000";"P1278000";"Politische Geschichte";"lkl=ppe 200 or lkl=ppe 900";"Political History"
"P1281000";"P1278000";"Frankreich im 16. Jahrhundert";"lkl=ppe 220 or lkl=ppe 230";"France in the 16th Century"
"P1282000";"P1278000";"Frankreich im 17. und 18. Jahrhundert";"lkl=ppe 240";"France in the 17th and 18th Century"
"P1283000";"P1278000";"Gesellschaft";"lkl=ppe 300";"Society"
"P1284000";"P1278000";"Wirtschaft";"lkl=ppe 400";"Economy"
"P1285000";"P1278000";"Kultur";"lkl=ppe 500";"Culture"
"P1286000";"P1278000";"Regionalgeschichte";"lkl=ppe 600";"Regional Studies"
"P1287000";"P1278000";"Stadt- und Ortsgeschichte";"lkl=ppe 700";"Local History"
"P1288000";"P1278000";"Personen";"lkl=ppe 800";"Biographies"
"P1289000";"P1264000";"Geschichte Frankreichs im 19. Jahrhundert (1789-1918) ";"lkl=pph?";"France in the 19th Century (1789-1918) "
"P1289500";"P1289000";"Nachschlagewerke, Handbücher";"lkl=pph 000";"Factual Reference Works, Handbooks"
"P1290000";"P1289000";"Quellen";"lkl=pph 1?";"Primary Sources "
"P1291000";"P1289000";"Politische Geschichte";"lkl=pph 200 or lkl=pph 900";"Political History"
"P1292000";"P1289000";"Epoche der Revolution und Napoleons";"lkl=pph 210";"Revolution and Napoleon"
"P1293000";"P1289000";"Geschichte der Französischen Revolution";"lkl=pph 22?";"History of the French Revolution"
"P1294000";"P1289000";"Napoleon";"lkl=pph 230";"Napoleon"
"P1295000";"P1289000";"Zeit der Restauration (1815-1848)";"lkl=pph 240";"Bourbon Restauration (1815-1848)"
"P1296000";"P1289000";"1848-1870";"lkl=pph 250";"1848-1870"
"P1297000";"P1289000";"1870-1914";"lkl=pph 260";"1870-1914"
"P1298000";"P1289000";"Gesellschaft";"lkl=pph 300";"Society"
"P1299000";"P1289000";"Wirtschaft";"lkl=pph 400";"Economy"
"P1300000";"P1289000";"Kultur";"lkl=pph 500";"Culture"
"P1301000";"P1289000";"Regionalgeschichte";"lkl=pph 600";"Regional Studies"
"P1302000";"P1289000";"Stadt- und Ortsgeschichte";"lkl=pph 700";"Local History"
"P1303000";"P1289000";"Personen";"lkl=pph 800";"Biographies"
"P1304000";"P1264000";"Geschichte Frankreichs im 20. Jahrhundert ";"lkl=ppm? or lkl=ppo? or lkl=ppq?";"France in the 20th Century: Factual Reference Works, Handbooks "
"P1304500";"P1304000";"Nachschlagewerke, Handbücher";"lkl=ppm 000";"Factual Reference Works, Handbooks"
"P1305000";"P1304000";"Quellen";"lkl=ppm 1?";"Primary Sources "
"P1306000";"P1304000";"Politische Geschichte";"lkl=ppm 200 or lkl=ppm 900";"Political History"
"P1307000";"P1304000";"Gesellschaft, Wirtschaft, Kultur";"lkl=ppm 300 or lkl=ppm 400 or lkl=ppm 500";"Society, Economy, Culture"
"P1308000";"P1304000";"Regional- und Lokalgeschichte";"lkl=ppm 600 or lkl=ppm 700";"Regional Studies and Local History"
"P1309000";"P1304000";"Personen";"lkl=ppm 800";"Biographies"
"P1310000";"P1264000";"Geschichte Frankreichs 1918-1945 ";"lkl=ppo?";"France 1918-1945 "
"P1310500";"P1310000";"Nachschlagewerke, Handbücher";"lkl=ppo 000";"Factual Reference Works, Handbooks"
"P1311000";"P1310000";"Quellen";"lkl=ppo 1?";"Primary Sources "
"P1312000";"P1310000";"Politische Geschichte";"lkl=ppo 200 or lkl=ppo 900";"Political History"
"P1313000";"P1310000";"Frankreich unter deutscher Besatzung; Vichy-Regierung";"lkl=ppo 250";"France during the Occupation; Vichy-regime"
"P1314000";"P1310000";"Gesellschaft, Wirtschaft, Kultur";"lkl=ppo 300 or lkl=ppo 400 or lkl=ppo 500";"Society, Economy, Culture"
"P1315000";"P1310000";"Regional- und Lokalgeschichte";"lkl=ppo 600 or lkl=ppo 700";"Regional Studies and Local History"
"P1316000";"P1310000";"Personen";"lkl=ppo 800";"Biographies"
"P1317000";"P1264000";"Geschichte Frankreichs 1945- ";"lkl=ppq?";"France 1945- "
"P1317500";"P1317000";"Nachschlagewerke, Handbücher";"lkl=ppq 000";"Factual Reference Works, Handbooks"
"P1318000";"P1317000";"Quellen";"lkl=ppq 1?";"Primary Sources "
"P1319000";"P1317000";"Politische Geschichte";"lkl=ppq 2? or lkl=ppq 900";"Political History"
"P1320000";"P1317000";"Gesellschaft, Wirtschaft, Kultur";"lkl=ppq 300 or lkl=ppq 400 or lkl=ppq 500";"Society, Economy, Culture"
"P1321000";"P1317000";"Regional- oder Lokalgeschichte";"lkl=ppq 600 or lkl=ppq 700";"Regional Studies and Local History"
"P1322000";"P1317000";"Personen";"lkl=ppq 800";"Biographies"
"P1323000";"P0001000";"Geschichte Spaniens und Portugals";"lkl=pq? or ddc=946?";"History of Spain and Portugal"
"P1324000";"P1323000";"Nachschlagewerke, Handbücher";"lkl=pqa 000";"Factual Reference Works, Handbooks"
"P1325000";"P1323000";"Quellen";"lkl=pqa 1?";"Primary Sources "
"P1326000";"P1323000";"Politische Geschichte";"lkl=pqa 200 or lkl=pqa 900";"Political History"
"P1327000";"P1323000";"Gesellschaft, Wirtschaft, Kultur";"lkl=pqa 300 or lkl=pqa 400 or lkl=pqa 500";"Society, Economy, Culture"
"P1328000";"P1323000";"Regional- und Lokalgeschichte";"lkl=pqa 6? or lkl=pqa 700";"Regional Studies and Local History"
"P1329000";"P1323000";"Geschichte Spaniens im Mittelalter ";"lkl=pqb?";"Spain in the Middle Ages "
"P1329500";"P1329000";"Nachschlagewerke, Handbücher";"lkl=pqb 000";"Factual Reference Works, Handbooks"
"P1330000";"P1329000";"Quellen";"lkl=pqb 1?";"Primary Sources "
"P1331000";"P1329000";"Politische Geschichte";"lkl=pqb 2? or lkl=pqb 900";"Political History"
"P1332000";"P1329000";"Gesellschaft, Wirtschaft, Kultur";"lkl=pqb 300 or lkl=pqb 400 or lkl=pqb 500";"Society, Economy, Culture"
"P1333000";"P1329000";"Regional- und Lokalgeschichte";"lkl=pqb 600 or lkl=pqb 700";"Regional Studies and Local History"
"P1334000";"P1329000";"Personen";"lkl=pqb 800";"Biographies"
"P1335000";"P1323000";"Geschichte Spaniens in der Frühen Neuzeit ";"lkl=pqe?";"Spain in the Early Modern Period "
"P1335500";"P1335000";"Nachschlagewerke, Handbücher";"lkl=pqe 000";"Factual Reference Works, Handbooks"
"P1336000";"P1335000";"Quellen";"lkl=pqe 1?";"Primary Sources "
"P1337000";"P1335000";"Politische Geschichte";"lkl=pqe 2? or lkl=pqe 900";"Political History"
"P1338000";"P1335000";"Gesellschaft, Wirtschaft, Kultur";"lkl=pqe 300 or lkl=pqe 400 or lkl=pqe 500";"Society, Economy, Culture"
"P1339000";"P1335000";"Regional- und Lokalgeschichte";"lkl=pqe 600 or lkl=pqe 700";"Regional Studies"
"P1340000";"P1335000";"Personen";"lkl=pqe 800";"Biographies"
"P1341000";"P1323000";"Geschichte Spaniens im 19. Jahrhundert (1808-1918) ";"lkl=pqh?";"Spain in the 19th Century (1808-1918) "
"P1341500";"P1341000";"Nachschlagewerke, Handbücher";"lkl=pqh 000";"Factual Reference Works, Handbooks"
"P1342000";"P1341000";"Quellen";"lkl=pqh 1?";"Primary Sources "
"P1343000";"P1341000";"Politische Geschichte";"lkl=pqh 200 or lkl=pqh 900";"Political History"
"P1344000";"P1341000";"Gesellschaft, Wirtschaft, Kultur";"lkl=pqh 300 or lkl=pqh 400 or lkl=pqh 500";"Society, Economy, Culture"
"P1345000";"P1341000";"Regional- und Lokalgeschichte";"lkl=pqh 600 or lkl=pqh 700";"Regional Studies and Local History"
"P1346000";"P1341000";"Personen";"lkl=pqh 800";"Biographies"
"P1347000";"P1323000";"Geschichte Spaniens im 20. Jahrhundert ";"lkl=pqk?";"Spain in the 20th Century "
"P1347500";"P1347000";"Nachschlagewerke, Handbücher";"lkl=pqk 000";"Factual Reference Works, Handbooks"
"P1348000";"P1347000";"Quellen";"lkl=pqk 1?";"Primary Sources "
"P1349000";"P1347000";"Politische Geschichte";"lkl=pqk 200 or lkl=pqk 220 or lkl=pqk 240 or lkl=pqk 260 or lkl=pqk 900";"Political History"
"P1350000";"P1347000";"Bürgerkrieg 1936-1939";"lkl=pqk 225";"Civil War 1936-1939"
"P1351000";"P1347000";"Gesellschaft, Wirtschaft, Kultur";"lkl=pqk 300 or lkl=pqk 400 or lkl=pqk 500";"Society, Economy, Culture"
"P1352000";"P1347000";"Regional- und Lokalgeschichte";"lkl=pqk 600 or lkl=pqk 700";"Regional Studies and Local History"
"P1353000";"P1347000";"Personen";"lkl=pqk 800";"Biographies"
"P1354000";"P1323000";"Geschichte Portugals ";"lkl=pqn?";"History of Portugal "
