MSC;Root;MSC;(msc=0? or msc=1? or msc=2? or msc=3? or msc=4? or msc=5? or msc=6? or msc=7? or msc=8? or msc=9?)
11GXX;11-XX;Arithmetic algebraic geometry (Diophantine geometry);msc=11G?
11G05;11GXX;Elliptic curves over global fields;msc=11G05
11G07;11GXX;Elliptic curves over local fields;msc=11G07
11G10;11GXX;Abelian varieties of dimension > 1;msc=11G10
11G15;11GXX;Complex multiplication and moduli of abelian varieties;msc=11G15
11G16;11GXX;Elliptic and modular units;msc=11G16
11G18;11GXX;Arithmetic aspects of modular and Shimura varieties;msc=11G18
11G20;11GXX;Curves over finite and local fields;msc=11G20
11G25;11GXX;Varieties over finite and local fields;msc=11G25
11G30;11GXX;Curves of arbitrary genus or genus ≠ 1 over global fields;msc=11G30
11G35;11GXX;Varieties over global fields;msc=11G35
11G40;11GXX;"L-functions of varieties over global fields; Birch-Swinnerton-Dyer conjecture";msc=11G40
11G45;11GXX;Geometric class field theory;msc=11G45
11G50;11GXX;Heights;msc=11G50
11G55;11GXX;Polylogarithms and relations with K-theory;msc=11G55
11G99;11GXX;None of the above, but in this section;msc=11G99
11HXX;11-XX;Geometry of numbers;msc=11H?
11H06;11HXX;Lattices and convex bodies;msc=11H06
11H16;11HXX;Nonconvex bodies;msc=11H16
11H31;11HXX;Lattice packing and covering;msc=11H31
11H46;11HXX;Products of linear forms;msc=11H46
11H50;11HXX;Minima of forms;msc=11H50
11H55;11HXX;Quadratic forms (reduction theory, extreme forms, etc.);msc=11H55
11H56;11HXX;Automorphism groups of lattices;msc=11H56
11H60;11HXX;Mean value and transfer theorems;msc=11H60
11H71;11HXX;Relations with coding theory;msc=11H71
11H99;11HXX;None of the above, but in this section;msc=11H99
11JXX;11-XX;Diophantine approximation, transcendental number theory;msc=11J?
11J04;11JXX;Homogeneous approximation to one number;msc=11J04
11J06;11JXX;Markov and Lagrange spectra and generalizations;msc=11J06
11J13;11JXX;Simultaneous homogeneous approximation, linear forms;msc=11J13
11J17;11JXX;Approximation by numbers from a fixed field;msc=11J17
11J20;11JXX;Inhomogeneous linear forms;msc=11J20
11J25;11JXX;Diophantine inequalities;msc=11J25
11J54;11JXX;Small fractional parts of polynomials and generalizations;msc=11J54
11J61;11JXX;Approximation in non-Archimedean valuations;msc=11J61
11J68;11JXX;Approximation to algebraic numbers;msc=11J68
11J70;11JXX;Continued fractions and generalizations;msc=11J70
11J71;11JXX;Distribution modulo one;msc=11J71
11J72;11JXX;"Irrationality; linear independence over a field";msc=11J72
11J81;11JXX;Transcendence (general theory);msc=11J81
11J82;11JXX;Measures of irrationality and of transcendence;msc=11J82
11J83;11JXX;Metric theory;msc=11J83
11J89;11JXX;Transcendence theory of elliptic and abelian functions;msc=11J89
11J91;11JXX;Transcendence theory of other special functions;msc=11J91
11J95;11JXX;Results involving abelian varieties;msc=11J95
11J97;11JXX;Analogues of methods in Nevanlinna theory (work of Vojta et al.);msc=11J97
11J99;11JXX;None of the above, but in this section;msc=11J99
11KXX;11-XX;"Probabilistic theory: distribution modulo 1; metric theory of algorithms";msc=11K?
11K06;11KXX;General theory of distribution modulo 1;msc=11K06
11K16;11KXX;Normal numbers, radix expansions, etc.;msc=11K16
11K31;11KXX;Special sequences;msc=11K31
11K36;11KXX;Well-distributed sequences and other variations;msc=11K36
11K38;11KXX;Irregularities of distribution, discrepancy;msc=11K38
11K41;11KXX;Continuous, p-adic and abstract analogues;msc=11K41
11K45;11KXX;"Pseudo-random numbers; Monte Carlo methods";msc=11K45
11K50;11KXX;Metric theory of continued fractions;msc=11K50
11K55;11KXX;"Metric theory of other algorithms and expansions; measure and Hausdorff dimension";msc=11K55
11K60;11KXX;Diophantine approximation;msc=11K60
11K65;11KXX;Arithmetic functions;msc=11K65
11K70;11KXX;Harmonic analysis and almost periodicity;msc=11K70
11K99;11KXX;None of the above, but in this section;msc=11K99
11LXX;11-XX;Exponential sums and character sums;msc=11L?
11L03;11LXX;Trigonometric and exponential sums, general;msc=11L03
11L05;11LXX;"Gauss and Kloosterman sums; generalizations";msc=11L05
11L07;11LXX;Estimates on exponential sums;msc=11L07
11L10;11LXX;"Jacobsthal and Brewer sums; other complete character sums";msc=11L10
11L15;11LXX;Weyl sums;msc=11L15
11L20;11LXX;Sums over primes;msc=11L20
11L26;11LXX;Sums over arbitrary intervals;msc=11L26
11L40;11LXX;Estimates on character sums;msc=11L40
11L99;11LXX;None of the above, but in this section;msc=11L99
11MXX;11-XX;Zeta and L-functions: analytic theory;msc=11M?
11M06;11MXX;ζ(s) and L(s, χ);msc=11M06
11M20;11MXX;"Real zeros of L(s, χ); results on L(1, χ)";msc=11M20
11M26;11MXX;"Nonreal zeros of ζ(s) and L(s, χ); Riemann and other hypotheses";msc=11M26
11M35;11MXX;Hurwitz and Lerch zeta functions;msc=11M35
11M36;11MXX;"Selberg zeta functions and regularized determinants; applications to spectral theory, Dirichlet series, Eisenstein series, etc. Explicit formulas";msc=11M36
11M38;11MXX;Zeta and L-functions in characteristic p;msc=11M38
11M41;11MXX;Other Dirichlet series and zeta functions;msc=11M41
11M45;11MXX;Tauberian theorems;msc=11M45
11M99;11MXX;None of the above, but in this section;msc=11M99
11NXX;11-XX;Multiplicative number theory;msc=11N?
11N05;11NXX;Distribution of primes;msc=11N05
11N13;11NXX;Primes in progressions;msc=11N13
11N25;11NXX;Distribution of integers with specified multiplicative constraints;msc=11N25
11N30;11NXX;Turán theory;msc=11N30
11N32;11NXX;"Primes represented by polynomials; other multiplicative structure of polynomial values";msc=11N32
11N35;11NXX;Sieves;msc=11N35
11N36;11NXX;Applications of sieve methods;msc=11N36
11N37;11NXX;Asymptotic results on arithmetic functions;msc=11N37
11N45;11NXX;Asymptotic results on counting functions for algebraic and topological structures;msc=11N45
11N56;11NXX;Rate of growth of arithmetic functions;msc=11N56
11N60;11NXX;Distribution functions associated with additive and positive multiplicative functions;msc=11N60
11N64;11NXX;Other results on the distribution of values or the characterization of arithmetic functions;msc=11N64
11N69;11NXX;Distribution of integers in special residue classes;msc=11N69
11N75;11NXX;Applications of automorphic functions and forms to multiplicative problems;msc=11N75
11N80;11NXX;Generalized primes and integers;msc=11N80
11N99;11NXX;None of the above, but in this section;msc=11N99
11PXX;11-XX;"Additive number theory; partitions";msc=11P?
11P05;11PXX;Waring's problem and variants;msc=11P05
11P21;11PXX;Lattice points in specified regions;msc=11P21
11P32;11PXX;"Goldbach-type theorems; other additive questions involving primes";msc=11P32
11P55;11PXX;Applications of the Hardy-Littlewood method;msc=11P55
11P70;11PXX;Inverse problems of additive number theory;msc=11P70
11P81;11PXX;Elementary theory of partitions;msc=11P81
11P82;11PXX;Analytic theory of partitions;msc=11P82
11P83;11PXX;"Partitions; congruences and congruential restrictions";msc=11P83
11P99;11PXX;None of the above, but in this section;msc=11P99
11RXX;11-XX;Algebraic number theory: global fields;msc=11R?
11R04;11RXX;"Algebraic numbers; rings of algebraic integers";msc=11R04
11R06;11RXX;"PV-numbers and generalizations; other special algebraic numbers";msc=11R06
11R09;11RXX;Polynomials (irreducibility, etc.);msc=11R09
11R11;11RXX;Quadratic extensions;msc=11R11
11R16;11RXX;Cubic and quartic extensions;msc=11R16
11R18;11RXX;Cyclotomic extensions;msc=11R18
11R20;11RXX;Other abelian and metabelian extensions;msc=11R20
11R21;11RXX;Other number fields;msc=11R21
11R23;11RXX;Iwasawa theory;msc=11R23
11R27;11RXX;Units and factorization;msc=11R27
11R29;11RXX;Class numbers, class groups, discriminants;msc=11R29
11R32;11RXX;Galois theory;msc=11R32
11R33;11RXX;"Integral representations related to algebraic numbers; Galois module structure of rings of integers";msc=11R33
11R34;11RXX;Galois cohomology;msc=11R34
11R37;11RXX;Class field theory;msc=11R37
11R39;11RXX;Langlands-Weil conjectures, nonabelian class field theory;msc=11R39
11R42;11RXX;Zeta functions and L-functions of number fields;msc=11R42
11R44;11RXX;Distribution of prime ideals;msc=11R44
11R45;11RXX;Density theorems;msc=11R45
11R47;11RXX;Other analytic theory;msc=11R47
11R52;11RXX;Quaternion and other division algebras: arithmetic, zeta functions;msc=11R52
11R54;11RXX;Other algebras and orders, and their zeta and L-functions;msc=11R54
11R56;11RXX;Adèle rings and groups;msc=11R56
11R58;11RXX;Arithmetic theory of algebraic function fields;msc=11R58
11R60;11RXX;Cyclotomic function fields (class groups, Bernoulli objects, etc.);msc=11R60
11R65;11RXX;Class groups and Picard groups of orders;msc=11R65
11R70;11RXX;K-theory of global fields;msc=11R70
11R80;11RXX;Totally real and totally positive fields;msc=11R80
11R99;11RXX;None of the above, but in this section;msc=11R99
11SXX;11-XX;Algebraic number theory: local and p-adic fields;msc=11S?
11S05;11SXX;Polynomials;msc=11S05
11S15;11SXX;Ramification and extension theory;msc=11S15
11S20;11SXX;Galois theory;msc=11S20
11S23;11SXX;Integral representations;msc=11S23
11S25;11SXX;Galois cohomology;msc=11S25
11S31;11SXX;"Class field theory; p-adic formal groups";msc=11S31
11S37;11SXX;Langlands-Weil conjectures, nonabelian class field theory;msc=11S37
11S40;11SXX;Zeta functions and L-functions;msc=11S40
11S45;11SXX;Algebras and orders, and their zeta functions;msc=11S45
11S70;11SXX;K-theory of local fields;msc=11S70
11S80;11SXX;Other analytic theory (analogues of beta and gamma functions, p-adic integration, etc.);msc=11S80
11S85;11SXX;Other nonanalytic theory;msc=11S85
11S90;11SXX;Prehomogeneous vector spaces;msc=11S90
11S99;11SXX;None of the above, but in this section;msc=11S99
11TXX;11-XX;Finite fields and commutative rings (number-theoretic aspects);msc=11T?
11T06;11TXX;Polynomials;msc=11T06
11T22;11TXX;Cyclotomy;msc=11T22
11T23;11TXX;Exponential sums;msc=11T23
11T24;11TXX;Other character sums and Gauss sums;msc=11T24
11T30;11TXX;Structure theory;msc=11T30
11T55;11TXX;Arithmetic theory of polynomial rings over finite fields;msc=11T55
11T60;11TXX;Finite upper half-planes;msc=11T60
11T71;11TXX;"Algebraic coding theory; cryptography";msc=11T71
11T99;11TXX;None of the above, but in this section;msc=11T99
11UXX;11-XX;Connections with logic;msc=11U?
11U05;11UXX;Decidability;msc=11U05
11U07;11UXX;Ultraproducts;msc=11U07
11U09;11UXX;Model theory;msc=11U09
11U10;11UXX;Nonstandard arithmetic;msc=11U10
11U99;11UXX;None of the above, but in this section;msc=11U99
11YXX;11-XX;Computational number theory;msc=11Y?
11Y05;11YXX;Factorization;msc=11Y05
11Y11;11YXX;Primality;msc=11Y11
11Y16;11YXX;"Algorithms; complexity";msc=11Y16
11Y35;11YXX;Analytic computations;msc=11Y35
11Y40;11YXX;Algebraic number theory computations;msc=11Y40
11Y50;11YXX;Computer solution of Diophantine equations;msc=11Y50
11Y55;11YXX;Calculation of integer sequences;msc=11Y55
11Y60;11YXX;Evaluation of constants;msc=11Y60
11Y65;11YXX;Continued fraction calculations;msc=11Y65
11Y70;11YXX;"Values of arithmetic functions; tables";msc=11Y70
11Y99;11YXX;None of the above, but in this section;msc=11Y99
11ZXX;11-XX;Miscellaneous applications of number theory;msc=11Z?
12-XX;06XXX;Field theory and polynomials;msc=12?
12-00;12-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=12-00
12-01;12-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=12-01
12-02;12-XX;Research exposition (monographs, survey articles);msc=12-02
12-03;12-XX;Historical;msc=12-03
12-04;12-XX;Explicit machine computation and programs;msc=12-04
12-06;12-XX;Proceedings, conferences, collections, etc.;msc=12-06
12DXX;12-XX;Real and complex fields;msc=12D?
12D05;12DXX;Polynomials: factorization;msc=12D05
12D10;12DXX;Polynomials: location of zeros (algebraic theorems);msc=12D10
12D15;12DXX;Fields related with sums of squares (formally real fields, Pythagorean fields, etc.);msc=12D15
12D99;12DXX;None of the above, but in this section;msc=12D99
12EXX;12-XX;General field theory;msc=12E?
12E05;12EXX;Polynomials (irreducibility, etc.);msc=12E05
12E10;12EXX;Special polynomials;msc=12E10
12E12;12EXX;Equations;msc=12E12
12E15;12EXX;Skew fields, division rings;msc=12E15
12E20;12EXX;Finite fields (field-theoretic aspects);msc=12E20
12E25;12EXX;"Hilbertian fields; Hilbert's irreducibility theorem";msc=12E25
12E30;12EXX;Field arithmetic;msc=12E30
12E99;12EXX;None of the above, but in this section;msc=12E99
12FXX;12-XX;Field extensions;msc=12F?
12F05;12FXX;Algebraic extensions;msc=12F05
12F10;12FXX;Separable extensions, Galois theory;msc=12F10
12F12;12FXX;Inverse Galois theory;msc=12F12
12F15;12FXX;Inseparable extensions;msc=12F15
12F20;12FXX;Transcendental extensions;msc=12F20
12F99;12FXX;None of the above, but in this section;msc=12F99
12GXX;12-XX;Homological methods (field theory);msc=12G?
12G05;12GXX;Galois cohomology;msc=12G05
12G10;12GXX;Cohomological dimension;msc=12G10
12G99;12GXX;None of the above, but in this section;msc=12G99
12HXX;12-XX;Differential and difference algebra;msc=12H?
12H05;12HXX;Differential algebra;msc=12H05
12H10;12HXX;Difference algebra;msc=12H10
12H20;12HXX;Abstract differential equations;msc=12H20
12H25;12HXX;p-adic differential equations;msc=12H25
12H99;12HXX;None of the above, but in this section;msc=12H99
12JXX;12-XX;Topological fields;msc=12J?
12J05;12JXX;Normed fields;msc=12J05
12J10;12JXX;Valued fields;msc=12J10
12J12;12JXX;Formally p-adic fields;msc=12J12
12J15;12JXX;Ordered fields;msc=12J15
12J17;12JXX;Topological semifields;msc=12J17
12J20;12JXX;General valuation theory;msc=12J20
12J25;12JXX;Non-Archimedean valued fields;msc=12J25
12J27;12JXX;Krasner-Tate algebras;msc=12J27
12J99;12JXX;None of the above, but in this section;msc=12J99
12KXX;12-XX;Generalizations of fields;msc=12K?
12K05;12KXX;Near-fields;msc=12K05
12K10;12KXX;Semifields;msc=12K10
12K99;12KXX;None of the above, but in this section;msc=12K99
12LXX;12-XX;Connections with logic;msc=12L?
12L05;12LXX;Decidability;msc=12L05
12L10;12LXX;Ultraproducts;msc=12L10
12L12;12LXX;Model theory;msc=12L12
12L15;12LXX;Nonstandard arithmetic;msc=12L15
12L99;12LXX;None of the above, but in this section;msc=12L99
12Y05;12-XX;Computational aspects of field theory and polynomials;msc=12Y05
13-XX;06XXX;Commutative rings and algebras;msc=13?
13-00;13-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=13-00
13-01;13-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=13-01
13-02;13-XX;Research exposition (monographs, survey articles);msc=13-02
13-03;13-XX;Historical;msc=13-03
13-04;13-XX;Explicit machine computation and programs;msc=13-04
13-06;13-XX;Proceedings, conferences, collections, etc.;msc=13-06
13AXX;13-XX;General commutative ring theory;msc=13A?
13A02;13AXX;Graded rings;msc=13A02
13A05;13AXX;Divisibility;msc=13A05
13A10;13AXX;Radical theory;msc=13A10
13A15;13AXX;"Ideals; multiplicative ideal theory";msc=13A15
13A18;13AXX;Valuations and their generalizations;msc=13A18
13A30;13AXX;Associated graded rings of ideals (Rees ring, form ring), analytic spread and related topics;msc=13A30
13A35;13AXX;"Characteristic p methods (Frobenius endomorphism) and reduction to characteristic p; tight closure";msc=13A35
13A50;13AXX;"Actions of groups on commutative rings; invariant theory";msc=13A50
13A99;13AXX;None of the above, but in this section;msc=13A99
13BXX;13-XX;Ring extensions and related topics;msc=13B?
13B02;13BXX;Extension theory;msc=13B02
13B05;13BXX;Galois theory;msc=13B05
13B10;13BXX;Morphisms;msc=13B10
13B21;13BXX;Integral dependence;msc=13B21
13B22;13BXX;Integral closure of rings and ideals;msc=13B22
13B24;13BXX;"Going up; going down; going between";msc=13B24
13B25;13BXX;Polynomials over commutative rings;msc=13B25
13B30;13BXX;Quotients and localization;msc=13B30
13B35;13BXX;Completion;msc=13B35
13B40;13BXX;"Étale and flat extensions; Henselization; Artin approximation";msc=13B40
13B99;13BXX;None of the above, but in this section;msc=13B99
13CXX;13-XX;Theory of modules and ideals;msc=13C?
13C05;13CXX;Structure, classification theorems;msc=13C05
13C10;13CXX;Projective and free modules and ideals;msc=13C10
13C11;13CXX;Injective and flat modules and ideals;msc=13C11
13C12;13CXX;Torsion modules and ideals;msc=13C12
13C13;13CXX;Other special types;msc=13C13
13C14;13CXX;Cohen-Macaulay modules;msc=13C14
13C15;13CXX;Dimension theory, depth, related rings (catenary, etc.);msc=13C15
13C20;13CXX;Class groups;msc=13C20
13C40;13CXX;Linkage, complete intersections and determinantal ideals;msc=13C40
13C99;13CXX;None of the above, but in this section;msc=13C99
13DXX;13-XX;Homological methods;msc=13D?
13D02;13DXX;Syzygies and resolutions;msc=13D02
13D03;13DXX;(Co)homology of commutative rings and algebras (e.g., Hochschild, André-Quillen, cyclic, dihedral, etc.);msc=13D03
13D05;13DXX;Homological dimension;msc=13D05
13D07;13DXX;Homological functors on modules (Tor, Ext, etc.);msc=13D07
13D10;13DXX;Deformations and infinitesimal methods;msc=13D10
13D15;13DXX;Grothendieck groups, K-theory;msc=13D15
13D22;13DXX;Homological conjectures (intersection theorems);msc=13D22
13D25;13DXX;Complexes;msc=13D25
13D30;13DXX;Torsion theory;msc=13D30
13D40;13DXX;"Hilbert-Samuel and Hilbert-Kunz functions; Poincaré series";msc=13D40
13D45;13DXX;Local cohomology;msc=13D45
13D99;13DXX;None of the above, but in this section;msc=13D99
13EXX;13-XX;Chain conditions, finiteness conditions;msc=13E?
13E05;13EXX;Noetherian rings and modules;msc=13E05
13E10;13EXX;Artinian rings and modules, finite-dimensional algebras;msc=13E10
13E15;13EXX;"Rings and modules of finite generation or presentation; number of generators";msc=13E15
13E99;13EXX;None of the above, but in this section;msc=13E99
13FXX;13-XX;Arithmetic rings and other special rings;msc=13F?
13F05;13FXX;Dedekind, Prüfer and Krull rings and their generalizations;msc=13F05
13F07;13FXX;Euclidean rings and generalizations;msc=13F07
13F10;13FXX;Principal ideal rings;msc=13F10
